FIPS,County,State,Longitude,Latitude,Population,cases
6037,Los Angeles,California,-118.2247,34.3219,9848406,1
17031,Cook,Illinois,-87.8168,41.8401,5185812,0
48201,Harris,Texas,-95.3938,29.8578,4758579,3
4013,Maricopa,Arizona,-112.4915,33.349,4491987,0
6073,San Diego,California,-116.735,33.0343,3282782,0
6059,Orange,California,-117.7609,33.7031,3164063,3
12086,Miami-Dade,Florida,-80.5624,25.615,2685296,1
36047,Kings,New York,-73.9383,40.6413,2646306,0
48113,Dallas,Texas,-96.7778,32.7666,2603816,0
6065,Riverside,California,-115.9938,33.7436,2449909,0
36081,Queens,New York,-73.8196,40.7035,2330124,0
32003,Clark,Nevada,-115.0135,36.2152,2293764,0
53033,King,Washington,-121.8052,47.4902,2262713,1
6071,San Bernardino,California,-116.1785,34.8414,2187816,0
48439,Tarrant,Texas,-97.2911,32.7719,2135743,0
48029,Bexar,Texas,-98.52,29.4489,2037344,0
12011,Broward,Florida,-80.4871,26.1523,1946127,0
6085,Santa Clara,California,-121.6951,37.2318,1903297,0
26163,Wayne,Michigan,-83.283,42.2822,1773767,0
6001,Alameda,California,-121.8887,37.6469,1651949,0
36061,New York,New York,-73.9668,40.7792,1627788,2
25017,Middlesex,Massachusetts,-71.3918,42.4856,1622896,0
6067,Sacramento,California,-121.3443,38.4493,1584047,0
42101,Philadelphia,Pennsylvania,-75.1339,40.0077,1582432,1
36103,Suffolk,New York,-72.8456,40.8681,1525680,1
12099,Palm Beach,Florida,-80.4655,26.6476,1507453,0
12057,Hillsborough,Florida,-82.3088,27.9292,1489634,0
12095,Orange,Florida,-81.3235,28.5144,1440471,0
36005,Bronx,New York,-73.8672,40.8501,1419250,0
36059,Nassau,New York,-73.5862,40.7326,1388138,0
39049,Franklin,Ohio,-83.0093,39.9695,1321635,0
48453,Travis,Texas,-97.782,30.3344,1307625,1
26125,Oakland,Michigan,-83.3858,42.6604,1272294,1
27053,Hennepin,Minnesota,-93.477,45.0046,1268903,0
39035,Cuyahoga,Ohio,-81.6586,41.4243,1249418,0
42003,Allegheny,Pennsylvania,-79.9813,40.4688,1240476,0
49035,Salt Lake,Utah,-111.9236,40.6673,1184689,0
6013,Contra Costa,California,-121.9275,37.9192,1161458,0
37183,Wake,North Carolina,-78.6503,35.7903,1151009,0
51059,Fairfax,Virginia,-77.277,38.8368,1144474,0
37119,Mecklenburg,North Carolina,-80.8328,35.2467,1130906,0
48085,Collin,Texas,-96.5724,33.188,1116601,0
13121,Fulton,Georgia,-84.467,33.7902,1068507,3
24031,Montgomery,Maryland,-77.2042,39.1363,1057586,0
4019,Pima,Arizona,-111.7899,32.0974,1049947,0
6019,Fresno,California,-119.6493,36.7582,1012152,2
12031,Duval,Florida,-81.6715,30.3313,1007189,0
15003,Honolulu,Hawaii,-158.0739,21.4899,1003666,0
36119,Westchester,New York,-73.7561,41.1626,996888,0
29189,St. Louis,Missouri,-90.4434,38.6407,996618,0
18097,Marion,Indiana,-86.1385,39.7817,971822,0
